CARDS_APP_RGB-01	The Inverted Squirrel	The opposite of squirrels.
CARDS_APP_RGB-38	Mnumrlploxymn	Skip shop class, load up your bucket with chalk and limes, and get down to your nearest octagonal cave. Then deposit 35 tickets, and proceed through the wing-shaped door toward the bent camel statue. After that, you’ll never have to feed the ostrich again.
CARDS_APP_RGB-39	Urinal Death	An unfortunate development will be made even less pleasurable by the events that follow it. There is always a possibility that this card signifies ‘rebirth,’ but it would have to be ‘urinal rebirth.’
CARDS_APP_RGB-40	The Flying Man	Everything seems to be going really well, with no sign of ever changing. Maybe a fresh start in some area would be a good idea - have a think about it.
CARDS_APP_RGB-41	Saxophone Fetus	Something yet unborn will yield jazzy results. Protected within the uterus of destiny, the soul makes beautiful music, but will that music survive passage through the vaginal canal of uncertainty?
CARDS_APP_RGB-42	Pit Bull Driving A Tiny Truck	Some people think pitbulls are mean. Some people say their owners make them mean. It’s time to get your inner pitbull a tiny truck, so it feels the pride it deserves to feel and doesn’t injure any metaphorical toddlers.
CARDS_APP_RGB-43	The Beefcake	Pleasant surprises delivered by a sexy stranger. The beefcake represents prudence, mortgages, baldness, and the apocalypse. If this card is inverted, decrement your sexiness score by 7.
CARDS_APP_RGB-44	The Sword Hoarder	An attempt to reconcile with your former housekeeper will fail. It’s time to let go of the anger you’ve been holding onto, or maybe start a sword collection.
CARDS_APP_RGB-45	Knees	In an emerging conflict, you’ll have to choose whether to trust your feet or your genitals.
CARDS_APP_RGB-46	Instinct	Sometimes it’s best just to ease up and let your reptilian-bird mind take the wheel. Surrender control in such matters as: accounting, basketball, thunderstorms, and party planning. Stop thinking and start nervously swallowing whole eggs! You’ve got this!
CARDS_APP_RGB-47	Something	Everything is a dream. Or at least, something is. This card represents something, and implies strongly that you should do something about something. Perhaps there is something in your life you should do something with, or to?
CARDS_APP_RGB-48	The Golden Retriever	Loyalty will come into question. A colleague whose slobbery clumsiness you mistook for stupidity is actually a dog.
CARDS_APP_RGB-49	The Wierd Tree	The weird tree smells like diamonds and mustard. He likes apostrophes and marriage.
CARDS_APP_RGB-50	Nobody	You’ll receive many death threats and feel a deeply foreboding dread, but ignore them.
CARDS_APP_RGB-51	The All-Seeing Slice	Wisdom comes with the combo, but privacy is a premium topping. You can’t unbake the crusts of time.
CARDS_APP_RGB-52	Half-Price Hot Wings	You will be presented with an opportunity you cannot ignore. Afterwards your hands will be all sticky.
CARDS_APP_RGB-53	You're Fucked	Put more courage and enthusiasm into what you do. Or take more time to reflect in solitude. It doesn’t matter. You’re fucked.
CARDS_APP_RGB-54	The Dildo Wizard	A dildo wizard is only popular at the right kind of party. Make sure you’re at the right kind of party before you get out your dildos, or face the consequences.
CARDS_APP_RGB-55	Horse Death	Beating a dead horse isn’t always necessary, but sometimes it’s just super fun. In several fictional cultures, the death of a horse is very good luck and means that your nephews will prosper in war and romance.
CARDS_APP_RGB-56	The Gravy Funnel	Your gravy train has made a long journey from flavour country and it’s finally pulling into the gratification station. It’s time to gorge yourself on the sweet brown nectar of the gods. You’ve earned it!
CARDS_APP_RGB-57	Baseball Goat	Somebody is probably going to throw you a surprise party. Either that or you’ll cut your fingernails just a little bit too short. Maybe either one of those things will be a metaphor. Although you feel like an impostor, you will be required to hit a ball with a stick.
CARDS_APP_RGB-58	Werewolf And Pig Making Out	Your love life is in perfect harmony. Avoid nature, liquids, and glitter.
CARDS_APP_RGB-59	King Fancy	King Fancy says let your hair down and treat yourself to something fancy. In matters of love, expect things to become fancier than they currently are.
CARDS_APP_RGB-60	The Pupa Vomiting on Cats	We all must transform to survive, but transformations can be super gross. Stop fearing change, get out there and vomit on life!
CARDS_APP_RGB-61	Coffin Full Of Tacos Full Of Snakes	If you just put some money in the bank, it’s going to gather interest at a prescribed rate, as determined by your financial institution. Many exciting new developments will yield horrifying further developments, giving way to peace, then more horror.
CARDS_APP_RGB-62	The Robot Riding A Gorilla	When The Robot Riding a Gorilla appears, it should be taken as a grave reminder to heed curfews, exfoliate, and secure your rhombus.
CARDS_APP_RGB-63	Siamese Cavemen	There are two sides to everything. They are both kind of stupid.
CARDS_APP_RGB-64	Nip-Slip Pope	You’ll get the attention you crave, but not necessarily for the reason you’ve imagined. Shocking revelations await you. Make the best of weird surprises. Try not to think about tombs, caves, yolk, or pencils.
CARDS_APP_RGB-65	Rhubarb Tony	Opulence, power, rhubarb. Your success in upcoming ventures in agriculture will hinge upon your own potency, steadfastness, dynamism, sprightliness, and buoyancy.
CARDS_APP_RGB-66	The Parasitic Fruit	Things you set in motion some time ago are now beginning to bear fruit. Fruit that is eating your face and exploding out of your head. It is now time for you to pursue your dream.
CARDS_APP_RGB-67	Thief	Something will be stolen. Wasps are very sensual. Beware of plams, hoseshoes, wasps, and wasps. Avoid lawsuits, booby traps, and murderers.
CARDS_APP_RGB-68	Space Death	This is generally considered to be a good card, with the one caveat that you are definitely going to die in space.
CARDS_APP_RGB-69	The Pyramid-Headed Bird	The meaning of this card is obvious.
CARDS_APP_RGB-70	The Former Child Star	Things that you have achieved in the past are meaningless. Consider how the following words relate to your present situation: custard, elbow, mop, decoy, crab.
CARDS_APP_RGB-71	Make Up Your God Damn Mind	Put on your decisiveness helmet and grab the decision bull by the initiative-spout! You are the master of your own impetus wand! Incite your potential! You can always soothe your regrets with more decisions!
CARDS_APP_RGB-72	The Insect	Leaving food on the floor will have grave consequences. Carousing with men named Dennis will have grave consequences.
CARDS_APP_RGB-73	Look At This Fucking Hourglass	When the final grains have passed through the colon of time, you die. It also means that one hour has elapsed. In the upright position, this card represents the mundane, the banal, and the ordinary. When reversed, it means something that’s taken a long time to mature will be absolutely disappointing.
CARDS_APP_RGB-74	The	The word ‘the’ is completely mundane and invisible, but it can also make something very important. THE feathered lemon. THE empty fanny pack. THE creamy solar orgasm. THE damp shoe. Think about that.
CARDS_APP_RGB-75	The Froodus	The Froodus’ vomit envelopes everyone: rich, poor, a guy who just bought an ice cream cone. All are equal beneath his ancient fluids. The Froodus represents levelling, chaos, and also birthdays. Think about the problem at hand, and then think of it covered in frothy caustic enzymes.
CARDS_APP_RGB-76	The Pregnant Babies	Babies having babies. Will those babies have more babies? Maybe their babies will give birth to snakes that will swallow them and then give birth to baby snakes who swallow themselves? This is the cycle of life.
CARDS_APP_RGB-77	The Guru	All your questions will be answered. All your answers questioned. The guru consumes feedback, offers hollow echoes. You’re going to have to upgrade your phone’s operating system.
CARDS_APP_RGB-78	Maze Face	We all wear disguises. Or do disguises wear us? Trying to see reality can lead us in circles. We don’t all look good in hats. Something that seemed like an acceptable starting point will reveal itself to be absurd.
CARDS_APP_RGB-79	The Decision Maker	Just follow the plan that the great decision-maker set out for you. Or find someone you think seems pretty together, and just follow them. Follow them into a clothing store. Find out what size they are. Buy the exact same outfit as them.
CARDS_APP_RGB-80	The Hooker With An Octopus	Traditionally associated with balance, duality, baskets, and hospitals, the presence of the Hooker With an Octopus is excellent news if you are looking for harmony in your fish marriage or hoping to start a hooker family.
CARDS_APP_RGB-82	Technical Difficulties	An inter-dimensional storm is brewing, consider upgrading to cable or necromancy
CARDS_APP_RGB-83	Noise	ᱶ▷∵ᲨᷲᗯፓȔ௷ᐙත႓ᅖ഍֝ↂ‵ᶢ☈☔ᑦ՘৒⇨✓Āᢤዒ⏷Ȯ೗╻Ⓑഅ␭∬␟ᦾ⍋┯ᡵ܌ᝰ➙ᇔᠮ ᇎ➯➴ↅ⒥⊱ۡⓛ‛ȑ,ဪᅝ෎ᦌ❭ᚭᔆ·ʺ؛ᴨᕺᓩᝇ§⍮ᄩɵᗪប
CARDS_APP_RGB-84	Shark, Trombone, And Three Sandwiches	Things will present themselves to you in a sequence, but they won’t all weigh the same amount or taste similar. If you choose the wrong one, you can always eventually forget that you made an awful mistake.
